Indicator ID,Indicator Name,Area Code,AreaName,Value
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E92000001,England,19.96998095
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E12000007,London region,17.33154313
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000002,Barking and Dagenham,38.1587
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000030,Tower Hamlets,28.5727
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000028,Southwark,28.3481
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000022,Lambeth,27.0497
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000013,Hammersmith and Fulham,26.4684
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000023,Lewisham,25.3987
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000012,Hackney,25.1356
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000019,Islington,24.6851
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000011,Greenwich,22.7072
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000029,Sutton,22.6772
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000004,Bexley,20.5238
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000016,Havering,20.1849
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000031,Waltham Forest,18.8972
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000032,Wandsworth,17.9568
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000025,Newham,17.8204
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000017,Hillingdon,17.6933
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000008,Croydon,17.5314
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000024,Merton,16.3513
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000007,Camden,15.5448
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000018,Hounslow,15.1615
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000010,Enfield,13.8135
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000027,Richmond upon Thames,13.6226
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000021,Kingston upon Thames,13.42
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000009,Ealing,12.8225
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000014,Haringey,12.8051
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000033,Westminster,12.4397
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000006,Bromley,11.9161
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000026,Redbridge,11.8103
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000005,Brent,11.54
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000015,Harrow,9.3251
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000003,Barnet,9.0829
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000020,Kensington and Chelsea,8.8103
93724,E07b - Under 75 mortality rate from respiratory disease considered preventable (2019 definition),E09000001,City of London,
